datetime,AMZN,GOOG,GS,MS
2014-06-11,335.200012,558.842499,159.769435,30.27792
2014-06-12,325.910004,551.352476,160.281314,30.316137
2014-06-13,326.269989,551.762475,160.213702,30.182376
2014-06-16,327.619995,544.282488,160.175077,30.297028
2014-06-17,325.619995,543.012465,162.463977,31.051827
2014-06-18,334.380005,553.372481,164.04786,31.204697
2014-06-19,327.0,554.902495,163.922304,31.090045
2014-06-20,324.200012,556.362492,164.028541,30.851185
2014-06-23,327.23999,564.952579,164.414863,31.070936
2014-06-24,324.160004,564.622572,162.47363,30.602768
2014-06-25,327.440002,578.652627,162.618506,30.793857
2014-06-26,325.690002,576.002598,162.261156,30.469007
2014-06-27,324.570007,577.242632,161.073248,30.144157
2014-06-30,324.779999,575.282606,161.710668,30.889403
2014-07-01,332.390015,582.672624,161.10222,30.879847
2014-07-02,332.850006,582.33766,161.179484,31.042274
2014-07-03,337.48999,584.732656,163.661553,31.166479
2014-07-07,333.549988,582.252649,162.039031,30.946728
2014-07-08,323.809998,571.092587,159.267239,30.335246
2014-07-09,329.970001,576.08259,159.035446,30.583659
2014-07-10,327.920013,571.102563,157.828217,30.268365
2014-07-11,346.200012,579.182645,159.161002,30.010396
2014-07-14,355.320007,584.872627,161.285721,30.392572
2014-07-15,354.440002,584.782659,163.381468,30.574106
2014-07-16,355.899994,582.662648,164.636989,31.051827
2014-07-17,352.450012,573.732579,164.318278,30.860738
2014-07-18,358.660004,595.082696,165.602771,31.185588
2014-07-21,359.76001,589.472645,165.844217,31.099598
2014-07-22,360.839996,594.742713,169.031303,31.443557
2014-07-23,358.140015,595.982686,170.769715,31.86395
2014-07-24,358.609985,593.352671,170.228864,31.911725
2014-07-25,324.01001,589.022681,169.39829,31.758854
2014-07-28,320.410004,590.602697,169.929474,31.596428
2014-07-29,320.0,585.612633,169.533499,31.289761
2014-07-30,322.51001,587.42265,169.745973,31.951014
2014-07-31,312.98999,571.602592,166.954861,30.992675
2014-08-01,307.059998,566.072533,164.424515,30.283504
2014-08-04,313.649994,573.152619,165.815245,30.503922
2014-08-05,312.320007,565.072537,163.622914,30.10142
2014-08-06,313.890015,566.376589,163.931971,30.24517
2014-08-07,311.450012,563.362525,163.313871,30.053503
2014-08-08,316.799988,568.772565,166.365733,30.618923
2014-08-11,318.329987,567.882551,166.558902,30.743508
